0,1
temp_hf_images\hf_sample_67.png,two rival African Nationalist Parties of Northern
temp_hf_images\hf_sample_126.png,to the Africans and Liberals attending . These
temp_hf_images\hf_sample_34.png,"support , a large majority of Labour"
temp_hf_images\hf_sample_82.png,meet in London today to discuss a common
temp_hf_images\hf_sample_187.png,"M Ps yesterday : "" I have no knowledge of secret negotiations . """
temp_hf_images\hf_sample_77.png,"Mr. Iain Macleod , is insisting on a policy of change ."
temp_hf_images\hf_sample_144.png,his full plans to the Africans and Liberals
temp_hf_images\hf_sample_173.png,Northern Rhodesia's future . The Northern
temp_hf_images\hf_sample_155.png,"Minister of the Central African Federation , went"
temp_hf_images\hf_sample_156.png,in the Commons last night that there have been
temp_hf_images\hf_sample_165.png,there have been secret negotiations on
temp_hf_images\hf_sample_56.png,"of the House of Lords , but while it remains"
temp_hf_images\hf_sample_196.png,"spokesman , said Sir Roy had no right to"
temp_hf_images\hf_sample_158.png,"MR. IAIN MACLEOD , the Colonial Secretary , denied"
temp_hf_images\hf_sample_101.png,future . Said Mr. Nkumbula last night :
temp_hf_images\hf_sample_20.png,institution .
temp_hf_images\hf_sample_92.png,to discuss a common course of action .
temp_hf_images\hf_sample_112.png,"Yesterday Sir Roy's chief aide , Mr."
temp_hf_images\hf_sample_80.png,"majority in Northern Rhodesia , but the"
temp_hf_images\hf_sample_121.png,Macmillan at Chequers .
temp_hf_images\hf_sample_43.png,should not now put forward nominees . He believes
temp_hf_images\hf_sample_81.png,"African National Congress ( 400,000 ) will"
temp_hf_images\hf_sample_11.png,Foot has put down a resolution on the subject
temp_hf_images\hf_sample_13.png,"which would appear to "" prop up "" an out-dated"
temp_hf_images\hf_sample_142.png,to discuss the function of a proposed
temp_hf_images\hf_sample_143.png,which had blown up . He has now revealed
temp_hf_images\hf_sample_136.png,at Lancaster House despite the crisis
temp_hf_images\hf_sample_32.png,Government Bill which brought life peers
temp_hf_images\hf_sample_193.png,He said Britain had an obligation to consult
temp_hf_images\hf_sample_106.png,British Government gives in to Sir Roy and
temp_hf_images\hf_sample_162.png,been boycotted by the two main settlers' parties -
temp_hf_images\hf_sample_99.png,the talks fall through . There are bound
temp_hf_images\hf_sample_66.png,"challenge from Sir Roy Welensky , the Federal Premier ."
temp_hf_images\hf_sample_19.png,that the House of Lords should be abolished
temp_hf_images\hf_sample_123.png,Sir Roy's United Federal Party is boycotting
temp_hf_images\hf_sample_35.png,will be that as Labour 0M Ps opposed the Govern-
temp_hf_images\hf_sample_28.png,M Ps are likely to turn down the Foot-
temp_hf_images\hf_sample_9.png,meeting of Labour 0M Ps tommorow . Mr. Michael
temp_hf_images\hf_sample_169.png,the United Federal Party and the Dominion
temp_hf_images\hf_sample_164.png,boycotted by the two main settlers' parties -
temp_hf_images\hf_sample_190.png,said Sir Roy had no right to delay progress in the talks by
temp_hf_images\hf_sample_178.png,future . The Northern Rhodesia conference in
temp_hf_images\hf_sample_73.png,Delegates from Mr. Kenneth Kaunda's United National Independence
temp_hf_images\hf_sample_96.png,Sir Roy is violently opposed to Africans
temp_hf_images\hf_sample_40.png,"Though they may gather some Left-wing support , a"
temp_hf_images\hf_sample_7.png,0M P for Manchester Exchange .
temp_hf_images\hf_sample_69.png,have an adequate number of members . THE
temp_hf_images\hf_sample_62.png,sentiment would still favour the abolition
temp_hf_images\hf_sample_198.png,"meeting . But he told M Ps yesterday : "" I"
temp_hf_images\hf_sample_115.png,"last night : "" We want to discuss what to"
temp_hf_images\hf_sample_51.png,"of the House of Lords , but while it remains"
temp_hf_images\hf_sample_127.png,will meet to discuss the function of a
temp_hf_images\hf_sample_12.png,"and he is to be backed by Mr. Will Griffiths ,"
temp_hf_images\hf_sample_33.png,Griffiths resolution . Mr. Foot's line will
temp_hf_images\hf_sample_42.png,"ment Bill which brought life peers into existence , they"
temp_hf_images\hf_sample_68.png,would still favour the abolition of the House
temp_hf_images\hf_sample_44.png,get together to face the challenge from Sir
temp_hf_images\hf_sample_199.png,Northern Rhodesia is a member of the Federation .
temp_hf_images\hf_sample_95.png,Delegates from Mr. Kenneth Kaunda's United
temp_hf_images\hf_sample_3.png,M Ps tomorrow. Mr. Michael Foot has
temp_hf_images\hf_sample_146.png,to discuss the function of a proposed House
temp_hf_images\hf_sample_135.png,Mr. Macleod went on with the conference
temp_hf_images\hf_sample_179.png,been secret negotiations on the Northern Rhodesia's
temp_hf_images\hf_sample_84.png,"Colonial Secretary , Mr. Iain Macleod ,"
temp_hf_images\hf_sample_23.png,Foot's line will be that as Labour M Ps
temp_hf_images\hf_sample_154.png,secret negotiations on Northern Rhodesia's future .
temp_hf_images\hf_sample_88.png,"Rhodesia , but the Colonial Secretary , Mr. Iain"
temp_hf_images\hf_sample_161.png,Mr. Macmillan .
temp_hf_images\hf_sample_93.png,"Macleod , is insisting on a policy of change ."
temp_hf_images\hf_sample_1.png,and he is to be backed by Mr. Will
temp_hf_images\hf_sample_119.png,the London talks on the Protectorate's
temp_hf_images\hf_sample_64.png,"Since 1958 , 13 Labour life Peers and #"
temp_hf_images\hf_sample_17.png,now put forward nominees . He believes
temp_hf_images\hf_sample_78.png,Delegates from Mr. Kenneth Kaunda's
temp_hf_images\hf_sample_75.png,"in Northern Rhodesia , but the Colonial Secretary ,"
temp_hf_images\hf_sample_153.png,of Chiefs .
temp_hf_images\hf_sample_159.png,"But representatives of Sir Roy Welensky , Prime"
temp_hf_images\hf_sample_83.png,United National Independence Party
temp_hf_images\hf_sample_145.png,studying them today . The conference will meet
temp_hf_images\hf_sample_176.png,"Central African Federation , went to Chequers"
temp_hf_images\hf_sample_113.png,a report on his talks with Mr. Macmillan
temp_hf_images\hf_sample_46.png,"Roy Welensky , the Federal Premier ."
temp_hf_images\hf_sample_108.png,"do if the British demonstrations . """
temp_hf_images\hf_sample_138.png,attending . These plans do not give the
temp_hf_images\hf_sample_148.png,to the Africans and Liberals attending . These
temp_hf_images\hf_sample_36.png,that Labour should not take any steps which would
temp_hf_images\hf_sample_160.png,The Northern Rhodesia conference in London has
temp_hf_images\hf_sample_6.png,A MOVE to stop Mr. Gaitskell from
temp_hf_images\hf_sample_191.png,Mr. Macleod was not at the week-end meeting . But he told
temp_hf_images\hf_sample_182.png,settlers' parties - the United Federal Party
temp_hf_images\hf_sample_76.png,"National Congress ( 400,000 ) will meet in London today"
temp_hf_images\hf_sample_90.png,"National Independence Party ( 280,000 members )"
temp_hf_images\hf_sample_21.png,opposed the Government Bill which brought
temp_hf_images\hf_sample_98.png,his chief a report on his talks with
temp_hf_images\hf_sample_29.png,that Labour should not take any steps
temp_hf_images\hf_sample_18.png,large majority of Labour M Ps are likely to
temp_hf_images\hf_sample_133.png,Mr. Macleod went on with the conference at
temp_hf_images\hf_sample_111.png,at Chequers .
temp_hf_images\hf_sample_39.png,that the House of Lords should be abolished and
temp_hf_images\hf_sample_141.png,seeking . African delegates are studying
temp_hf_images\hf_sample_41.png,down the Foot-Griffiths resolution . Mr. Foot's line
temp_hf_images\hf_sample_72.png,to discuss a common course of action . Sir Roy is
temp_hf_images\hf_sample_132.png,Lancaster House despite the crisis which had
temp_hf_images\hf_sample_55.png,"the challenge from Sir Roy Welensky ,"
temp_hf_images\hf_sample_139.png,Africans the overall majority they are
temp_hf_images\hf_sample_147.png,blown up . He has now revealed his full plans
temp_hf_images\hf_sample_60.png,Labour has to have an adequate number
temp_hf_images\hf_sample_85.png,course of action . Sir Roy is violently
temp_hf_images\hf_sample_166.png,Party . But representatives of Sir Roy
temp_hf_images\hf_sample_122.png,""" We want to discuss what to do if the"
temp_hf_images\hf_sample_102.png,Mr. Macmillan at Chequers .
temp_hf_images\hf_sample_16.png,and that Labour should not take any steps
temp_hf_images\hf_sample_117.png,and the talks fall through . There are bound
temp_hf_images\hf_sample_50.png,sentiment would # still favour the abolition
temp_hf_images\hf_sample_70.png,Rhodesia have agreed to get together to face the
temp_hf_images\hf_sample_2.png,nominating any more Labour life Peers
temp_hf_images\hf_sample_37.png,"appear to "" prop up "" an out-dated institution ."
temp_hf_images\hf_sample_49.png,Labour has to have an adequate number of
temp_hf_images\hf_sample_171.png,"Welensky , Prime Minister of the Central"
temp_hf_images\hf_sample_10.png,any more Labour life Peers is to be made at a
temp_hf_images\hf_sample_177.png,"Mr. Iain Macleod , the Colonial Secretary , denied"
temp_hf_images\hf_sample_54.png,Peeresses have been created . Most Labour
temp_hf_images\hf_sample_86.png,is insisting on a policy of change .
temp_hf_images\hf_sample_4.png,"Griffiths, M P for Manchester Exchange ."
temp_hf_images\hf_sample_149.png,plans do not give the Africans the overall majo-
temp_hf_images\hf_sample_71.png,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African"
temp_hf_images\hf_sample_163.png,the United Federal Party and the Dominion Party .
temp_hf_images\hf_sample_109.png,Sir Roy's United Federal Party is
temp_hf_images\hf_sample_22.png,turn down the Foot-Griffiths resolution . Mr.
temp_hf_images\hf_sample_168.png,the week-end for talks with Mr. Macmillan .
temp_hf_images\hf_sample_48.png,Peeresses have been created . Most Labour
temp_hf_images\hf_sample_104.png,Sir Roy's United Federal Party is boycotting
temp_hf_images\hf_sample_192.png,Northern Rhodesia is a member of the Federation .
temp_hf_images\hf_sample_47.png,Parties of Northern Rhodesia have agreed to
temp_hf_images\hf_sample_172.png,"African Federation , went to Chequers at"
temp_hf_images\hf_sample_130.png,plans do not give the Africans the overall
temp_hf_images\hf_sample_61.png,Nationalist Parties of Northern Rhodesia
temp_hf_images\hf_sample_180.png,and the Dominion Party . But representatives
temp_hf_images\hf_sample_137.png,them today . The conference will meet
temp_hf_images\hf_sample_151.png,Mr. Macleod went on with the conference at
temp_hf_images\hf_sample_31.png,forward nominees . He believes that the
temp_hf_images\hf_sample_97.png,"chief aide , Mr. Julius Greenfield , telephoned"
temp_hf_images\hf_sample_74.png,violently opposed to Africans getting an elected majority
temp_hf_images\hf_sample_110.png,Protectorate's future . Said Mr. Nkumbula
temp_hf_images\hf_sample_59.png,the Federal Premier .
temp_hf_images\hf_sample_170.png,denied in the Commons last night that
temp_hf_images\hf_sample_45.png,members . THE two rival African Nationalist
temp_hf_images\hf_sample_175.png,in the Commons last night that there have
temp_hf_images\hf_sample_52.png,"Since 1958 , 13 Labour life Peers and"
temp_hf_images\hf_sample_26.png,"which would appear to "" prop up "" an out-"
temp_hf_images\hf_sample_5.png,is to be made at a meeting of Labour
temp_hf_images\hf_sample_53.png,of members . THE two rival African
temp_hf_images\hf_sample_167.png,Rhodesia conference in London has been
temp_hf_images\hf_sample_14.png,"Though they may gather some Left-wing support , a"
temp_hf_images\hf_sample_91.png,"Congress ( 400,000 ) will meet in London today"
temp_hf_images\hf_sample_27.png,House of Lords should be abolished and
temp_hf_images\hf_sample_0.png,put down a resolution on the subject
temp_hf_images\hf_sample_140.png,House of Chiefs .
temp_hf_images\hf_sample_38.png,large majority of Labour 0m Ps are likely to turn
temp_hf_images\hf_sample_183.png,at the week-end for talks with Mr. Macmillan .
temp_hf_images\hf_sample_174.png,"MR. IAIN MACLEOD , the Colonial Secretary ,"
temp_hf_images\hf_sample_189.png,"Government . Mr. James Callaghan , Labour's Colonial spokesman ,"
temp_hf_images\hf_sample_103.png,""" We want to discuss what to do if the"
temp_hf_images\hf_sample_100.png,"to be demonstrations . "" Yesterday Sir Roy's"
temp_hf_images\hf_sample_105.png,the London talks on the Protectorate's
temp_hf_images\hf_sample_134.png,blown up . He has now revealed his full plans
temp_hf_images\hf_sample_25.png,Though they may gather some Left-wing
temp_hf_images\hf_sample_87.png,opposed to Africans getting an elected
temp_hf_images\hf_sample_63.png,Peeresses have been created . Most Labour sentiment
temp_hf_images\hf_sample_186.png,refusing to sit round the conference table .
temp_hf_images\hf_sample_150.png,rity they are seeking . African delegates are
temp_hf_images\hf_sample_185.png,He said Britain had an obligation to consult the Federal
temp_hf_images\hf_sample_30.png,be that as Labour M Ps opposed the
temp_hf_images\hf_sample_79.png,"( 280,000 members ) and Mr. Harry Nkumbula's"
temp_hf_images\hf_sample_57.png,have agreed to get together to face
temp_hf_images\hf_sample_118.png,future . Said Mr. Nkumbula last night :
temp_hf_images\hf_sample_194.png,the Federal Government . But the final
temp_hf_images\hf_sample_128.png,majority they are seeking . African delegates
temp_hf_images\hf_sample_120.png,"chief aide , Mr. Julius Greenfield , telephoned"
temp_hf_images\hf_sample_15.png,"life peers into existence , they should not"
